kmer,gamma,bpb
14,0.4,1.62474
14,0.45,1.62361
14,0.5,1.62253
14,0.55,1.6208
14,0.6,1.619
14,0.65,1.61841
14,0.7,1.61765
14,0.75,1.61674
14,0.8,1.61483
14,0.85,1.61105
14,0.9,1.60795
14,0.95,1.60603
15,0.05,1.60562
15,0.1,1.60532
15,0.15,1.60501
15,0.2,1.60449
15,0.25,1.60407
15,0.3,1.60331
15,0.35,1.60276
15,0.4,1.60208
15,0.45,1.60127
15,0.5,1.6001
15,0.55,1.59853
15,0.6,1.59689
15,0.65,1.59596
15,0.7,1.59514
15,0.75,1.59407
15,0.8,1.59226
15,0.85,1.58671
15,0.9,1.582
15,0.95,1.57793
16,0.05,1.59879
16,0.1,1.59843
16,0.15,1.59837
16,0.2,1.598
16,0.25,1.59762
16,0.3,1.59712
16,0.35,1.5967
16,0.4,1.59596
16,0.45,1.59529
16,0.5,1.59435
16,0.55,1.59281
16,0.6,1.59099
16,0.65,1.59027
16,0.7,1.58948
16,0.75,1.58842
16,0.8,1.58696
16,0.85,1.58094
16,0.9,1.57577
16,0.95,1.57079
17,0.05,1.597
17,0.1,1.59675
17,0.15,1.59661
17,0.2,1.59624
17,0.25,1.59597
17,0.3,1.59569
17,0.35,1.59519
17,0.4,1.59456
17,0.45,1.59389
17,0.5,1.59297
17,0.55,1.59143
17,0.6,1.58972
17,0.65,1.5889
17,0.7,1.58811
17,0.75,1.58696
17,0.8,1.58552
17,0.85,1.57937
17,0.9,1.574
17,0.95,1.56878
18,0.05,1.59645
18,0.1,1.59611
18,0.15,1.59606
18,0.2,1.5957
18,0.25,1.59534
18,0.3,1.59496
18,0.35,1.59456
18,0.4,1.59413
18,0.45,1.59337
18,0.5,1.59225
18,0.55,1.59101
18,0.6,1.5891
18,0.65,1.58849
18,0.7,1.5877
18,0.75,1.58655
18,0.8,1.585
18,0.85,1.57896
18,0.9,1.57368
18,0.95,1.56824
19,0.05,1.59644
19,0.1,1.59609
19,0.15,1.59605
19,0.2,1.59569
19,0.25,1.59533
19,0.3,1.59495
19,0.35,1.59455
19,0.4,1.59412
19,0.45,1.59336
19,0.5,1.59224
19,0.55,1.59101
19,0.6,1.58909
19,0.65,1.58848
19,0.7,1.58769
19,0.75,1.58654
19,0.8,1.585
19,0.85,1.57895
19,0.9,1.57377
19,0.95,1.56823
